NAME                                           VERSION                             TYPE      
github.com/AVENTER-UG/vmm-agent/src            v2024-02-26T15                      go-module  
github.com/dgrijalva/jwt-go                    v3.2.0+incompatible                 go-module  
github.com/go-playground/locales               v0.13.0                             go-module  
github.com/go-playground/locales               v0.14.1                             go-module  
github.com/go-playground/universal-translator  v0.17.0                             go-module  
github.com/go-playground/universal-translator  v0.18.1                             go-module  
github.com/go-playground/validator             v9.31.0+incompatible                go-module  
github.com/golang-jwt/jwt                      v3.2.2+incompatible                 go-module  
github.com/labstack/echo/v4                    v4.11.4                             go-module  
github.com/labstack/echo/v4                    v4.4.0                              go-module  
github.com/labstack/gommon                     v0.3.0                              go-module  
github.com/labstack/gommon                     v0.4.2                              go-module  
github.com/leodido/go-urn                      v1.2.1                              go-module  
github.com/leodido/go-urn                      v1.4.0                              go-module  
github.com/mattn/go-colorable                  v0.1.13                             go-module  
github.com/mattn/go-colorable                  v0.1.8                              go-module  
github.com/mattn/go-isatty                     v0.0.12                             go-module  
github.com/mattn/go-isatty                     v0.0.20                             go-module  
github.com/sirupsen/logrus                     v1.8.1                              go-module  
github.com/sirupsen/logrus                     v1.9.3                              go-module  
github.com/valyala/bytebufferpool              v1.0.0                              go-module  
github.com/valyala/fasttemplate                v1.2.1                              go-module  
github.com/valyala/fasttemplate                v1.2.2                              go-module  
golang.org/x/crypto                            v0.0.0-20210421170649-83a5a9bb288b  go-module  
golang.org/x/crypto                            v0.20.0                             go-module  
golang.org/x/net                               v0.0.0-20210405180319-a5a99cb37ef4  go-module  
golang.org/x/net                               v0.21.0                             go-module  
golang.org/x/sys                               v0.0.0-20210426230700-d19ff857e887  go-module  
golang.org/x/sys                               v0.17.0                             go-module  
golang.org/x/text                              v0.14.0                             go-module  
golang.org/x/text                              v0.3.6                              go-module  
golang.org/x/time                              v0.0.0-20201208040808-7e3f01d25324  go-module  
golang.org/x/time                              v0.5.0                              go-module  
gopkg.in/go-playground/assert.v1               v1.2.1                              go-module  
stdlib                                         go1.22.0                            go-module
